index,value
1461,17
1462,2
1463,30
1464,4
1465,17
1466,25
1467,6
1468,22
1469,8
1470,17
1471,15
1472,14
1473,18
1474,8
1475,29
1476,7
1477,26
1478,26
1479,4
1480,29
1481,11
1482,22
1483,12
1484,0
1485,17
1486,15
1487,22
1488,0
1489,24
1490,21
1491,7
1492,26
1493,0
1494,28
1495,15
1496,3
1497,26
1498,12
1499,20
1500,11
1501,27
1502,22
1503,12
1504,24
1505,3
1506,31
1507,31
1508,0
1509,28
1510,7
1511,19
1512,8
1513,20
1514,20
1515,11
1516,19
1517,5
1518,28
1519,2
1520,11
1521,31
1522,5
1523,24
1524,10
1525,23
1526,31
1527,9
1528,16
1529,14
1530,31
1531,19
1532,13
1533,20
1534,2
1535,27
1536,5
1537,5
1538,24
1539,2
1540,23
1541,13
1542,17
1543,24
1544,14
1545,23
1546,9
1547,25
1548,6
1549,14
1550,27
1551,1
1552,29
1553,14
1554,18
1555,26
1556,13
1557,17
1558,10
1559,22
1560,4
1561,9
1562,17
1563,6
1564,30
1565,0
1566,17
1567,29
1568,6
1569,26
1570,8
1571,21
1572,15
1573,10
1574,18
1575,12
1576,29
1577,3
1578,26
1579,30
1580,4
1581,25
1582,7
1583,22
1584,8
1585,0
1586,21
1587,15
1588,18
1589,0
1590,28
1591,21
1592,3
1593,26
1594,4
1595,28
1596,11
1597,3
1598,30
1599,12
1600,16
1601,11
1602,31
1603,22
1604,8
1605,24
1606,7
1607,27
1608,0
1609,4
1610,28
1611,3
1612,19
1613,12
1614,20
1615,16
1616,11
1617,23
1618,12
1619,24
1620,2
1621,15
1622,31
1623,1
1624,24
1625,14
1626,23
1627,27
1628,9
1629,20
1630,14
1631,27
1632,5
1633,13
1634,16
1635,2
1636,31
1637,5
1638,17
1639,24
1640,6
1641,23
1642,9
1643,17
1644,14
1645,14
1646,19
1647,9
1648,29
1649,6
1650,26
1651,27
1652,5
1653,29
1654,10
1655,22
1656,13
1657,1
1658,17
1659,14
1660,22
1661,0
1662,25
1663,21
1664,6
1665,26
1666,0
1667,29
1668,15
1669,2
1670,26
1671,12
1672,21
1673,11
1674,26
1675,22
1676,12
1677,25
1678,3
1679,30
1680,16
1681,0
1682,29
1683,7
1684,18
1685,8
1686,20
1687,21
1688,11
1689,18
1690,4
1691,28
1692,3
1693,11
1694,30
1695,4
1696,24
1697,11
1698,23
1699,30
1700,8
1701,16
1702,15
1703,31
1704,0
1705,12
1706,20
1707,3
1708,27
1709,4
1710,20
1711,24
1712,3
1713,23
1714,12
1715,16
1716,10
1717,15
1718,23
1719,8
1720,24
1721,6
1722,31
1723,27
1724,0
1725,28
1726,14
1727,19
1728,31
1729,4
1730,16
1731,10
1732,23
1733,5
1734,8
1735,16
1736,6
1737,31
1738,1
1739,25
1740,30
1741,6
1742,27
1743,9
1744,21
1745,14
1746,26
1747,19
1748,13
1749,29
1750,2
1751,26
1752,31
1753,1
1754,25
1755,6
1756,22
1757,9
1758,1
1759,21
1760,14
1761,18
1762,1
1763,29
1764,21
1765,10
1766,26
1767,5
1768,29
1769,11
1770,2
1771,30
1772,13
1773,17
1774,11
1775,30
1776,22
1777,9
1778,21
1779,7
1780,26
1781,0
1782,4
1783,29
1784,3
1785,18
1786,12
1787,20
1788,17
1789,11
1790,22
1791,12
1792,24
1793,3
1794,15
1795,30
1796,0
1797,24
1798,15
1799,23
1800,26
1801,8
1802,20
1803,11
1804,19
1805,4
1806,12
1807,16
1808,3
1809,31
1810,4
1811,16
1812,24
1813,7
1814,23
1815,8
1816,16
1817,14
1818,15
1819,19
1820,8
1821,28
1822,6
1823,27
1824,27
1825,4
1826,28
1827,2
1828,23
1829,13
1830,0
1831,16
1832,14
1833,23
1834,1
1835,24
1836,20
1837,6
1838,27
1839,1
1840,28
1841,14
1842,2
1843,27
1844,13
1845,20
1846,10
1847,26
1848,23
1849,13
1850,25
1851,2
1852,30
1853,1
1854,1
1855,29
1856,6
1857,18
1858,9
1859,21
1860,21
1861,10
1862,18
1863,5
1864,29
1865,3
1866,10
1867,30
1868,5
1869,25
1870,11
1871,22
1872,30
1873,9
1874,17
1875,15
1876,30
1877,0
1878,13
1879,21
1880,3
1881,26
1882,4
1883,21
1884,25
1885,3
1886,22
1887,12
1888,16
1889,11
1890,15
1891,22
1892,8
1893,24
1894,7
1895,31
1896,26
1897,0
1898,28
1899,15
1900,19
1901,30
1902,4
1903,16
1904,11
1905,23
1906,4
1907,8
1908,16
1909,7
1910,31
1911,0
1912,16
1913,30
1914,7
1915,27
1916,8
1917,20
1918,14
1919,11
1920,19
1921,12
1922,28
1923,2
1924,27
1925,31
1926,0
1927,24
1928,6
1929,23
1930,9
1931,0
1932,20
1933,14
1934,19
1935,1
1936,28
1937,20
1938,10
1939,27
1940,5
1941,28
1942,10
1943,2
1944,31
1945,13
1946,16
1947,10
1948,30
1949,23
1950,9
1951,20
1952,6
1953,26
1954,1
1955,5
1956,29
1957,2
1958,18
1959,13
1960,21
1961,17
1962,10
1963,22
1964,13
1965,25
1966,3
1967,14
1968,30
1969,1
1970,25
1971,15
1972,22
1973,26
1974,9
1975,21
1976,11
1977,18
1978,4
1979,13
1980,17
1981,3
1982,30
1983,4
1984,17
1985,25
1986,7
1987,30
1988,8
1989,17
1990,15
1991,15
1992,18
1993,8
1994,29
1995,7
1996,27
1997,26
1998,4
1999,28
